label,point,n_scenes,n_gt_eval,obj_per_scene,ap_macro,ap50_macro,ap75_macro,ap_micro,mean_iou,pq,sq,rq,precision,recall,f1,box_recall,tp,fp,fn,over_segmentation_rate,merge_rate,hallucination_rate,miss_rate
baseline,F,56,573,10.23,0.3256894828932575,0.37255429760543646,0.35083510288342223,0.3256894828932575,0.9252270335206302,0.44047332326297,0.9252270335206302,0.4760705289672544,0.8552036199095022,0.3298429319371728,0.4760705289672544,,189,32,384,0.019197207678883072,0.027149321266968326,0.06787330316742081,0.6701570680628273
mixed,F,144,1622,11.26,0.16000320611988836,0.19132101921914227,0.16431195801890464,0.16000320611988836,0.9090381217329964,0.25556749595494943,0.9090381217329964,0.28114057028514255,0.7453580901856764,0.17324290998766953,0.28114057028514255,,281,96,1341,0.011713933415536375,0.09549071618037135,0.13527851458885942,0.8267570900123304
dense,F,150,5332,35.55,0.06505272899664392,0.09020614707648285,0.06556917633022762,0.06505272899664392,0.8565480046642533,0.14268549798368466,0.8565480046642533,0.1665820213306247,0.8556521739130435,0.09227306826706677,0.1665820213306247,,492,83,4840,0.002813203300825206,0.3026086956521739,0.02608695652173913,0.9077269317329333
chaotic,F,80,2031,25.39,0.05465019275192316,0.07777898142367999,0.05530401355297143,0.05465019275192316,0.8407971145955597,0.12307964816830944,0.8407971145955597,0.14638447971781304,0.70042194092827,0.08173313638601674,0.14638447971781304,,166,71,1865,0.006893156080748399,0.2869198312236287,0.08016877637130802,0.9182668636139832
lighting,F,50,1437,28.74,0.07181429221859462,0.10636398127631581,0.06893771685937149,0.07181429221859462,0.8337453997797972,0.17253343799270923,0.8337453997797972,0.2069377990430622,0.7361702127659574,0.12038970076548365,0.20693779904306223,,173,62,1264,0.008350730688935281,0.4,0.02127659574468085,0.8796102992345164
occlusion,F,50,1307,26.14,0.09335542034005119,0.10703195325211619,0.0934870080012886,0.09335542034005119,0.9238522318954607,0.17531120850985535,0.9238522318954607,0.18976109215017065,0.879746835443038,0.1063504208110176,0.18976109215017065,,139,19,1168,0.0,0.08227848101265822,0.0189873417721519,0.8936495791889824
edge,F,30,524,17.47,0.13299819593079398,0.18460889895326169,0.12647564672074477,0.13299819593079398,0.8721006174167786,0.2729579397235614,0.8721006174167786,0.3129890453834116,0.8695652173913043,0.19083969465648856,0.31298904538341155,,100,15,424,0.0057251908396946565,0.1565217391304348,0.05217391304347826,0.8091603053435115
tilted,F,18,458,25.44,0.0886001012680166,0.12373394857445764,0.08426229879846643,0.0886001012680166,0.8555889613404309,0.1792662585665665,0.8555889613404309,0.20952380952380953,0.8208955223880597,0.12008733624454149,0.20952380952380953,,55,12,403,0.002183406113537118,0.34328358208955223,0.029850746268656716,0.8799126637554585
angled_dense,F,50,1343,26.86,0.05294502239347519,0.08675164320148238,0.044779940493013815,0.05294502239347519,0.8022593944097488,0.1359221740363307,0.8022593944097488,0.16942422236929186,0.7619047619047619,0.0953090096798213,0.1694242223692919,,128,40,1215,0.008935219657483246,0.375,0.06547619047619048,0.9046909903201787
angled_chaotic,F,50,1265,25.3,0.05881159954421709,0.09324455810733481,0.05910102860903118,0.05881159954421709,0.8054290592943659,0.13395437490730822,0.8054290592943659,0.16631430584918958,0.7662337662337663,0.0932806324110672,0.16631430584918958,,118,36,1147,0.0071146245059288534,0.37012987012987014,0.05194805194805195,0.9067193675889328
angled_occluded,F,50,1498,29.96,0.05668517672135667,0.06761737259167015,0.05999367560156641,0.05668517672135667,0.9000202036268397,0.11570099033027358,0.9000202036268397,0.12855377008652658,0.8666666666666667,0.06942590120160214,0.12855377008652658,,104,16,1394,0.0013351134846461949,0.175,0.025,0.9305740987983978
