class_name,tp,fn,recall
Amazon_A2_Package,147,476,0.23595505617977527
Amazon_Book_Package,149,480,0.2368839427662957
Asset_Deformed_Package,39,136,0.22285714285714286
Asset_Large_cartoon_Box,22,150,0.12790697674418605
Asset_Package_in_paper_with_rope,47,451,0.09437751004016064
Big Package cardboard,44,97,0.3120567375886525
Black Package,120,491,0.19639934533551553
Burlap_Sack,0,59,0.0
Cardboard Box SQ01.001,29,137,0.1746987951807229
Cardboard Box.001,22,112,0.16417910447761194
Cardboard box,8,45,0.1509433962264151
Carton Magdeleine,128,491,0.20678513731825526
China Package,75,260,0.22388059701492538
Colis VistaPrint,123,454,0.21317157712305027
Envelope_Stack,5,485,0.01020408163265306
Food_Packaging_Bag,0,612,0.0
Gros Carton,54,201,0.21176470588235294
Ikea Cardboard Package,257,579,0.30741626794258375
Louis_Vuitton_Package,58,647,0.08226950354609928
ML_Box,58,123,0.32044198895027626
POP_Drinks_Pack,22,376,0.05527638190954774
Packaging_Tube,13,718,0.017783857729138167
Paper_Coffee_Bag,19,665,0.027777777777777776
Paper_Shopping_Bag,43,431,0.09071729957805907
Powder_Blush,1,591,0.0016891891891891893
SM_Little_Package,99,547,0.15325077399380804
Sachets_Package,7,691,0.01002865329512894
Small Packet,56,616,0.08333333333333333
Small_Pouch,5,721,0.006887052341597796
Small_Shipping_Bag,45,605,0.06923076923076923
Space_Food_Bag,13,705,0.018105849582172703
Storage_Box_with_Lid,58,388,0.13004484304932734
Vegetable_Crate,53,583,0.08333333333333333
Vintage_Envelope,39,719,0.051451187335092345
Куб,87,603,0.12608695652173912
