point,category,over_segmentation_rate,merge_rate,hallucination_rate,miss_rate
D,all,0.03484761357101783,0.8392756083757782,0.0011318619128466328,0.8605520414031053
S,all,0.00718803910293272,0.19399538106235567,0.03695150115473441,0.9252443933294997
M,all,0.0013225991949396205,0.17111853088480802,0.005008347245409015,0.9396204715353651
F,all,0.001667625071880391,0.15625,0.015625,0.9374353076480736
F,baseline,0.013961605584642234,0.029197080291970802,0.0072992700729927005,0.7713787085514834
F,mixed,0.0012330456226880395,0.05527638190954774,0.005025125628140704,0.8834771886559802
F,dense,0.00018754688672168043,0.1783625730994152,0.0,0.9401725431357839
F,chaotic,0.0029542097488921715,0.32,0.0,0.9443623830625307
F,lighting,0.0027835768963117608,0.2782608695652174,0.0,0.9283228949199722
F,occlusion,0.0007651109410864575,0.012987012987012988,0.0,0.9433817903596021
F,edge,0.0,0.06896551724137931,0.0,0.8969465648854962
F,tilted,0.0,0.15789473684210525,0.0,0.9235807860262009
F,angled_dense,0.0014892032762472078,0.2647058823529412,0.10294117647058823,0.9843633655994043
F,angled_chaotic,0.0023715415019762848,0.22950819672131148,0.13114754098360656,0.9826086956521739
F,angled_occluded,0.0013351134846461949,0.15,0.05,0.9819759679572764
