label,point,n_scenes,n_gt_eval,obj_per_scene,ap_macro,ap50_macro,ap75_macro,ap_micro,mean_iou,pq,sq,rq,precision,recall,f1,box_recall,tp,fp,fn,over_segmentation_rate,merge_rate,hallucination_rate,miss_rate
baseline,F,56,573,10.23,0.21435633771768225,0.27282740164830505,0.26542944246463157,0.21435633771768225,0.8800681588263107,0.3247575459330893,0.8800681588263107,0.36901408450704226,0.9562043795620438,0.2286212914485166,0.36901408450704226,,131,6,442,0.013961605584642234,0.029197080291970802,0.0072992700729927005,0.7713787085514834
mixed,F,144,1622,11.26,0.1042851714078978,0.14461164358207057,0.11634234343777042,0.1042851714078978,0.8503862537828742,0.176521693536478,0.8503862537828742,0.20757825370675453,0.949748743718593,0.11652281134401973,0.20757825370675453,,189,10,1433,0.0012330456226880395,0.05527638190954774,0.005025125628140704,0.8834771886559802
dense,F,150,5332,35.55,0.044293696963010776,0.060604366549017026,0.050636218161384104,0.044293696963010776,0.8506688413734743,0.09565151935077135,0.8506688413734743,0.11244272118434967,0.9327485380116959,0.059827456864216054,0.11244272118434967,,319,23,5013,0.00018754688672168043,0.1783625730994152,0.0,0.9401725431357839
chaotic,F,80,2031,25.39,0.03701852581844074,0.05824222993572899,0.04176433431986065,0.03701852581844074,0.8088573913205829,0.08478746309761212,0.8088573913205829,0.10482374768089053,0.904,0.05563761693746923,0.10482374768089053,,113,12,1918,0.0029542097488921715,0.32,0.0,0.9443623830625307
lighting,F,50,1437,28.74,0.051859005715660086,0.07352196125558051,0.06119624155571894,0.051859005715660086,0.832485468644259,0.11049742689479211,0.832485468644259,0.1327319587628866,0.8956521739130435,0.07167710508002784,0.1327319587628866,,103,12,1334,0.0027835768963117608,0.2782608695652174,0.0,0.9283228949199722
occlusion,F,50,1307,26.14,0.04846529932102825,0.05531793664816771,0.05469293664816771,0.04846529932102825,0.9163518173545993,0.09799137931248605,0.9163518173545993,0.1069364161849711,0.961038961038961,0.056618209640397855,0.10693641618497109,,74,3,1233,0.0007651109410864575,0.012987012987012988,0.0,0.9433817903596021
edge,F,30,524,17.47,0.0694898570247835,0.09964319177554469,0.07812542441218912,0.0694898570247835,0.8332476825702928,0.15462328130170383,0.8332476825702928,0.18556701030927836,0.9310344827586207,0.10305343511450382,0.18556701030927833,,54,4,470,0.0,0.06896551724137931,0.0,0.8969465648854962
tilted,F,18,458,25.44,0.05497429614441436,0.07838408848490858,0.059775298505150856,0.05497429614441436,0.826348917004554,0.11662182296435239,0.826348917004554,0.14112903225806453,0.9210526315789473,0.07641921397379912,0.1411290322580645,,35,3,423,0.0,0.15789473684210525,0.0,0.9235807860262009
angled_dense,F,50,1343,26.86,0.006499127535584967,0.013649120926393732,0.00510376317868578,0.006499127535584967,0.7096011837826437,0.021122076342219017,0.7096011837826437,0.029766123316796598,0.3088235294117647,0.01563663440059568,0.029766123316796598,,21,47,1322,0.0014892032762472078,0.2647058823529412,0.10294117647058823,0.9843633655994043
angled_chaotic,F,50,1265,25.3,0.009881303704539976,0.018470190330669968,0.007394616628013212,0.009881303704539976,0.7412937490648818,0.024597982623570738,0.7412937490648818,0.033182503770739065,0.36065573770491804,0.017391304347826087,0.033182503770739065,,22,39,1243,0.0023715415019762848,0.22950819672131148,0.13114754098360656,0.9826086956521739
angled_occluded,F,50,1498,29.96,0.011095428111307107,0.019055743519279567,0.013125128472173229,0.011095428111307107,0.787950348310591,0.027310217463910085,0.787950348310591,0.03465982028241335,0.45,0.018024032042723633,0.03465982028241335,,27,33,1471,0.0013351134846461949,0.15,0.05,0.9819759679572764
