class_name,tp,fn,recall
Amazon_A2_Package,116,507,0.18619582664526485
Amazon_Book_Package,108,521,0.17170111287758347
Asset_Deformed_Package,21,154,0.12
Asset_Large_cartoon_Box,9,163,0.05232558139534884
Asset_Package_in_paper_with_rope,33,465,0.06626506024096386
Big Package cardboard,23,118,0.16312056737588654
Black Package,68,543,0.11129296235679215
Burlap_Sack,0,59,0.0
Cardboard Box SQ01.001,14,152,0.08433734939759036
Cardboard Box.001,6,128,0.04477611940298507
Cardboard box,4,49,0.07547169811320754
Carton Magdeleine,70,549,0.11308562197092084
China Package,51,284,0.15223880597014924
Colis VistaPrint,85,492,0.14731369150779897
Envelope_Stack,7,483,0.014285714285714285
Food_Packaging_Bag,0,612,0.0
Gros Carton,25,230,0.09803921568627451
Ikea Cardboard Package,131,705,0.15669856459330145
Louis_Vuitton_Package,23,682,0.032624113475177303
ML_Box,1,180,0.0055248618784530384
POP_Drinks_Pack,17,381,0.04271356783919598
Packaging_Tube,3,728,0.004103967168262654
Paper_Coffee_Bag,4,680,0.005847953216374269
Paper_Shopping_Bag,24,450,0.05063291139240506
Powder_Blush,0,592,0.0
SM_Little_Package,34,612,0.05263157894736842
Sachets_Package,0,698,0.0
Small Packet,53,619,0.07886904761904762
Small_Pouch,4,722,0.005509641873278237
Small_Shipping_Bag,47,603,0.07230769230769231
Space_Food_Bag,12,706,0.016713091922005572
Storage_Box_with_Lid,29,417,0.06502242152466367
Vegetable_Crate,5,631,0.007861635220125786
Vintage_Envelope,26,732,0.03430079155672823
Куб,35,655,0.050724637681159424
