scene_id,category_band,gt_instance_id,gt_class,packaging_type,visible_px,visibility_ratio,match_iou,e_lat_mm,e_top_mm_signed,ext_err_long_rel,ext_err_short_rel,ext_err_height_rel,yaw_err_deg,yaw_fold_deg,e_bottom_mm_signed,bottom_cue,bottom_confidence,is_primary_target
scene_000,baseline,5,China Package,rigid,6703,1.1562670186505497,0.8200805609428614,2.88879801603429,0.1673303115565794,-0.024064204178992354,0.0011285741744271386,-0.5037112947283916,2.3989815711975098,180,191.5775184292195,gradient_global,0.92,True
scene_000,baseline,7,Carton Magdeleine,rigid,3215,1.1120678960222878,0.8457231726283049,3.766515670547534,0.10202808746873071,-0.07472241459190652,-0.012820784231623613,-0.0005775032130405953,0.43843039870262146,90,0.17537095572139894,gradient_global,0.92,False
scene_000,baseline,4,Small Packet,rigid,1675,0.8619667479369796,0.7444776119402985,9.224888834428542,0.03331136809379964,-0.16847344025155422,-0.20027826589109415,-0.4994226299374843,0.9827499389648438,180,17.513093929553207,overlap_matched_parcel,0.7,False
scene_002,baseline,5,Ikea Cardboard Package,rigid,5286,1.0215645541662155,0.9073023079833522,3.8705390935991435,0.5717833787277637,-0.003037023022636332,-0.010765523932884907,-0.7877340654893504,3.5825424194335938,180,87.22179877105931,gradient_global,0.92,False
scene_002,baseline,6,Ikea Cardboard Package,rigid,5186,1.0023539469138258,0.9249903586579252,4.938271091068917,0.6878220930189166,-0.02852496493995876,-0.0712526615711392,-0.7872098158338141,0.46347299218177795,180,87.28017051027379,gradient_global,0.92,False
scene_002,baseline,2,Ikea Cardboard Package,rigid,5193,1.0035375154635153,0.9270171384556133,5.251008502203504,0.5803033205885877,-0.02773366541398386,-0.04218173426892092,-0.8062380389516135,1.4281234741210938,180,89.2657386034239,gradient_global,0.92,True
scene_003,baseline,1,Cardboard Box.001,rigid,21364,0.9592838668940714,0.9676558696873244,3.2417243980797035,0.05052363575819285,-0.020343378756440142,-0.03262344122750836,-0.9229588836840859,2.1861953735351562,180,379.98654332156804,lateral_neighbor,0.75,False
scene_003,baseline,4,China Package,rigid,5203,1.1187029487340594,0.8300980203728618,4.084744401864303,0.02322541464128136,-0.02360437356211247,0.003713040487700287,-0.945701049227988,1.4819183349609375,180,359.389619597469,gradient_global,0.92,False
scene_003,baseline,2,China Package,rigid,5275,1.1341934877146045,0.828436018957346,5.249082497168407,0.024209586435508523,-0.012263534650174188,0.022672910838904194,-0.9458656940108617,3.8753480911254883,180,359.45316878596765,gradient_global,0.92,True
scene_004,baseline,7,Ikea Cardboard Package,rigid,6286,1.002336958375101,0.950206808781419,1.3365108212390924,0.5010175294637431,-0.027762971937624836,-0.029158308930936988,-0.2360293865087975,0.45836547017097473,180,26.46413812131393,gradient_global,0.92,True
scene_005,baseline,5,Cardboard Box SQ01.001,rigid,18294,0.7912068056623639,0.9572705471986047,68.41535239408529,-1.2609554760144581,-0.005939277977564088,0.003113063810154334,-0.29625981811804336,1.0039372444152832,180,89.7707312573493,gradient_global,0.92,True
scene_005,baseline,17,Carton Magdeleine,rigid,2319,1.0442437300664988,0.8542475204829668,6.18359667526935,0.09512417730783707,-0.0032341228574186433,0.015761933056974008,-0.21214145466332093,2.7896218299865723,90,27.037068918488284,gradient_global,0.92,False
scene_006,baseline,2,China Package,rigid,4849,1.0426828569154347,0.8888430604248299,3.1358763026243452,0.0270719377927775,-0.03502387528864374,0.022812998164449805,-0.4204555333844611,3.27227783203125,180,159.80017246950848,gradient_global,0.92,False
scene_006,baseline,4,China Package,rigid,4758,1.023159301648742,0.9043715846994536,3.1740474087555124,0.02730911610399067,-0.03500915718888573,-0.01504142130821802,-0.8963905812243537,1.5460968017578125,180,340.65572538832686,lateral_neighbor,0.75,False
scene_006,baseline,7,Asset_Large_cartoon_Box,rigid,11255,0.8333830216158894,0.9573013759431869,33.49162009116401,-0.40378960244158435,-0.015309444099676871,0.0038488160865319454,-0.4234768566517016,1.6656899452209473,180,144.02299041117146,gradient_global,0.92,False
scene_006,baseline,12,Куб,rigid,2526,1.0031308688040794,0.9540775930324624,2.286163076661953,0.011627619544263279,-0.0036180250812099315,-0.03866346097255559,-0.8232153156364176,1.6319503784179688,180,73.98575488516617,gradient_global,0.92,True
scene_007,baseline,10,Gros Carton,rigid,16316,0.9930810175571468,0.9654327040941407,3.551653748011608,-2.2608444587068344,-0.006817759236418323,0.018504820745078407,-0.1686261472553464,2.35101318359375,180,16.83093277572295,gradient_global,0.92,True
scene_008,baseline,5,Ikea Cardboard Package,rigid,8709,1.0302176548227944,0.9276610403031347,1.558768763630535,0.022381233287793734,-0.01845494174580451,-0.004327543502257626,0.0004578256892629097,1.6118216514587402,180,-0.027984170146488907,gradient_global,0.92,True
scene_009,baseline,15,Colis VistaPrint,rigid,9232,1.1242517040064866,0.8355719237435009,6.590245753373893,4.619402784947768,-0.05353183069397165,0.010052366082295613,0.01166825814076366,0.8706893920898438,180,3.0450876060513776,gradient_global,0.92,False
scene_009,baseline,16,Colis VistaPrint,rigid,8127,0.9840448008877742,0.9395841023748001,3.300699945463152,3.427845259735385,0.0029865892006429896,0.012944219159562363,-0.08203835459710594,3.9298477172851562,180,14.496697639912126,gradient_global,0.92,True
scene_009,baseline,14,Colis VistaPrint,rigid,7130,1.0300999341517283,0.8959326788218794,2.085886672426482,3.393320484935569,-0.02471539158889079,-0.05195482911134818,-0.11666212113941747,1.0106903314590454,180,19.133711715259683,gradient_global,0.92,False
scene_010,baseline,0,Big Package cardboard,rigid,17040,1.2140790389302203,0.782218309859155,6.353500490966736,0.14014326690714451,-0.014099055952399454,0.07626112368101548,-0.29845818918972444,2.6717591285705566,180,203.09168403043827,gradient_global,0.92,True
scene_011,baseline,13,China Package,rigid,7854,1.2126651646843845,0.7867328749681691,2.186889693868935,1.209146508415193,-0.04613262525086393,-0.022494625877973923,-0.5979305907193181,0.594234824180603,180,228.4152230061169,lateral_neighbor,0.75,True
scene_011,baseline,10,China Package,rigid,5957,1.0836432587701912,0.8630182978009064,0.7679904798850058,1.1600784058150015,-0.026627220825528333,-0.0267388983829317,-0.5896198041795379,1.1790276765823364,180,225.20816092959802,gradient_global,0.92,False
scene_011,baseline,12,China Package,rigid,6133,1.115447780231118,0.8336866134029023,2.2657697521582594,1.1609392798167528,-0.005354802709545629,-0.02719307441478083,-0.600894127105198,2.2204437255859375,180,229.49312219395725,gradient_global,0.92,False
scene_011,baseline,14,Black Package,rigid,3280,1.0468935956817187,0.8890243902439025,4.775840521887543,0.9603961654369719,-0.04752467472859392,-0.02407559066973671,-0.8034679346139495,1.0234625339508057,180,125.49378892727326,gradient_global,0.92,False
scene_012,baseline,6,Black Package,rigid,4234,1.1050009740980715,0.8308927727916864,4.529208659858938,0.01761694436175354,-0.048172934015475705,-0.04013088903907123,0.1810051133269545,0.8217706680297852,180,-28.038174822705653,gradient_global,0.92,False
scene_012,baseline,13,Куб,rigid,3014,1.0920999007800056,0.8410749834107498,5.609697208458134,0.02837312585712848,-0.03411236475648574,-0.05614780429185941,1.00043928075899,1.3622665405273438,180,-89.87109808414957,gradient_global,0.92,True
scene_012,baseline,0,Cardboard box,rigid,28059,0.8344808212373466,0.9218788980362806,11.450502646542587,-2.525655076436095,-0.05403242741375601,-0.15244092596543385,-0.6510656813358445,1.159805417060852,180,343.6850217757947,gradient_global,0.92,False
scene_013,baseline,1,Asset_Large_cartoon_Box,rigid,13450,0.9876754631139496,0.9571747211895911,1.6809176988873102,-0.01402323196592059,-0.0045718019346016985,-0.0008153299390670087,-0.7179395352781784,1.9550552368164062,180,244.82983760926768,gradient_global,0.92,True
scene_017,baseline,4,Ikea Cardboard Package,rigid,7513,0.9914357025277514,0.9363769466258486,3.0528337410312796,1.9560346228603143,-0.013982798448007797,-0.01339953451183892,0.00014980301144993952,2.438079833984375,180,1.9395573944687716,gradient_global,0.92,False
scene_018,baseline,7,Ikea Cardboard Package,rigid,7146,1.018911808472164,0.9191155891407781,2.9374819415901126,1.0809528763493503,-0.006773396569544377,-0.0008509595429512837,-0.005032328047713203,3.556262731552124,180,1.6344979816441674,gradient_global,0.92,True
scene_018,baseline,4,Carton Magdeleine,rigid,2143,1.0803509049973083,0.8147456836210919,2.550718786945379,0.5791097356397656,-0.06853822598784651,-0.0002772352131227322,-0.884147701644499,3.0754547119140625,90,112.86364060242707,gradient_global,0.92,False
scene_019,baseline,0,Big Package cardboard,rigid,17276,1.2315609042443028,0.7707223894420004,6.475822991272458,0.13517524645267898,-0.014610710114928496,0.09031798805458914,-0.777170913351427,2.8182787895202637,180,528.6113448820772,gradient_global,0.92,True
scene_020,baseline,7,Carton Magdeleine,rigid,2961,1.0999405416258219,0.8264099966227626,5.3617826150990515,0.018047976863500015,-0.004855597055535535,-0.057765085335217674,0.017588701079090715,2.8276290893554688,90,-2.215717036092024,gradient_global,0.92,True
scene_020,baseline,5,Carton Magdeleine,rigid,3002,1.115157842812156,0.8224516988674218,2.9401566219290007,0.018318102483039223,-0.02342888712183433,-0.07897423925771775,0.017716703768156632,0.3966522216796875,90,-2.231703251808548,gradient_global,0.92,False
scene_020,baseline,1,China Package,rigid,5043,1.0843684599511985,0.8477096966091612,4.565000444038288,0.022647629732419627,-0.03499717095514559,-0.03406368346150376,-0.8917570076636554,2.02294921875,180,338.89030688756174,gradient_global,0.92,False
scene_020,baseline,2,China Package,rigid,4652,1.0003211531730927,0.9079965606190885,5.199627056595452,0.022798180344896224,-0.04633176539518285,-0.0529960963226308,-0.8917849379906603,1.47733736038208,180,338.90107096232157,gradient_global,0.92,False
scene_020,baseline,4,China Package,rigid,5141,1.1054327782821738,0.8385528107372107,5.109779177756761,0.023712359954075612,-0.02363643876025442,0.022740840903710816,-0.8918477665232833,2.01678729057312,180,338.9258599840701,gradient_global,0.92,False
scene_020,baseline,3,China Package,rigid,5596,1.2032160282882596,0.7857398141529665,2.499554050961363,0.015916286400907698,-0.02352444344235808,0.04151603129949083,7.686910120091509e-05,3.7039260864257812,180,-0.013293971740422378,gradient_global,0.92,False
scene_021,baseline,6,Black Package,rigid,5891,1.1409998540883612,0.8207435070446444,7.097360178586872,0.05113623752617258,-0.044327446902578616,-0.0030932231327219276,-0.8718178469478169,2.5966475009918213,180,135.18288789956821,lateral_neighbor,0.75,False
scene_021,baseline,7,Colis VistaPrint,rigid,6159,1.0441519365106493,0.9004708556583861,0.9270567776740525,0.054839255623995165,-0.017030852057227635,-0.010733415496279744,-0.916401530789677,2.6993179321289062,180,123.76903253220107,overlap_matched_parcel,0.7,True
scene_021,baseline,4,Colis VistaPrint,rigid,6425,1.0892936643261284,0.8708171206225681,5.644292109441198,0.057295417031255624,0.015204980541502378,-0.026322014747419246,-0.6652758777888207,2.5414979457855225,180,89.86952920508261,gradient_global,0.92,False
scene_021,baseline,10,Carton Magdeleine,rigid,3793,1.0187412214007139,0.8911152122330609,1.2807264376166732,0.04241365900392591,-0.004256119778126311,-0.0028352888028366947,-0.7060829309813241,3.5221099853515625,90,89.71493619530268,gradient_global,0.92,False
scene_021,baseline,15,Carton Magdeleine,rigid,3732,1.1038795931782446,0.8317256162915327,4.86679039578011,0.04444638409073498,-0.06558608293552104,-0.049676134873113856,-0.6118575701870945,0.9432449340820312,90,77.75034939374514,gradient_global,0.92,False
