scene_id,category_band,gt_class,theta_deg,within_12deg,within_30deg,status
scene_000,baseline,China Package,8.8040589318783e-05,True,True,evaluated
scene_001,baseline,,,,,no_target
scene_002,baseline,Ikea Cardboard Package,3.073855792725071e-05,True,True,evaluated
scene_003,baseline,China Package,7.348717892467302e-05,True,True,evaluated
scene_004,baseline,Ikea Cardboard Package,3.166219890220867e-05,True,True,evaluated
scene_005,baseline,Cardboard Box SQ01.001,0.5087770067686946,True,True,evaluated
scene_006,baseline,Куб,1.781552104964188e-05,True,True,evaluated
scene_007,baseline,Gros Carton,7.08544132801049e-05,True,True,evaluated
scene_008,baseline,Ikea Cardboard Package,5.1138895759317934e-05,True,True,evaluated
scene_009,baseline,Colis VistaPrint,5.1715503701613556e-05,True,True,evaluated
scene_010,baseline,Big Package cardboard,6.612894674575105e-05,True,True,evaluated
scene_011,baseline,China Package,3.877121213454149e-05,True,True,evaluated
scene_012,baseline,Куб,1.8699227417103935e-05,True,True,evaluated
scene_013,baseline,Asset_Large_cartoon_Box,1.4069867000898533,True,True,evaluated
scene_014,baseline,,,,,no_target
scene_015,baseline,,,,,no_target
scene_016,baseline,,,,,no_target
scene_017,baseline,,,,,target_unmatched
scene_018,baseline,Ikea Cardboard Package,4.592187682664371e-05,True,True,evaluated
scene_019,baseline,Big Package cardboard,7.436146326616367e-05,True,True,evaluated
scene_020,baseline,Carton Magdeleine,5.1991911153510894e-05,True,True,evaluated
scene_021,baseline,Colis VistaPrint,8.238882809689861e-05,True,True,evaluated
scene_022,baseline,Gros Carton,2.9353620713228692e-05,True,True,evaluated
scene_023,baseline,Black Package,8.701017623191741e-06,True,True,evaluated
scene_024,baseline,,,,,target_unmatched
scene_025,baseline,,,,,no_target
scene_026,baseline,Carton Magdeleine,9.734322150681177e-05,True,True,evaluated
scene_027,baseline,Colis VistaPrint,5.202796191786434e-05,True,True,evaluated
scene_028,baseline,Ikea Cardboard Package,1.3178251266377239e-05,True,True,evaluated
scene_029,baseline,Cardboard Box SQ01.001,0.8664760095269368,True,True,evaluated
scene_030,baseline,Black Package,5.204535952848577e-05,True,True,evaluated
scene_031,baseline,Ikea Cardboard Package,5.782231260605552e-05,True,True,evaluated
scene_032,baseline,Colis VistaPrint,6.199750388213088e-05,True,True,evaluated
scene_033,baseline,Cardboard Box.001,5.131667179759182e-05,True,True,evaluated
scene_034,baseline,Ikea Cardboard Package,5.497246370617042e-05,True,True,evaluated
scene_035,baseline,,,,,no_target
scene_036,baseline,Куб,5.239075222203442e-05,True,True,evaluated
scene_037,baseline,Ikea Cardboard Package,2.3883343106565655e-05,True,True,evaluated
scene_038,baseline,Big Package cardboard,9.378386148655769e-05,True,True,evaluated
scene_039,baseline,Cardboard box,1.0885952743964467,True,True,evaluated
scene_040,baseline,Gros Carton,3.282971291103074e-05,True,True,evaluated
scene_041,baseline,Big Package cardboard,0.00013116124740044478,True,True,evaluated
scene_042,baseline,Asset_Large_cartoon_Box,0.9999774860541218,True,True,evaluated
scene_043,baseline,China Package,2.778462498890617e-05,True,True,evaluated
scene_044,baseline,China Package,1.3780317628294338e-05,True,True,evaluated
scene_045,baseline,China Package,1.4936717771389802e-05,True,True,evaluated
scene_046,baseline,Big Package cardboard,6.069672719110111e-05,True,True,evaluated
scene_047,baseline,Cardboard Box SQ01.001,0.7489974753535452,True,True,evaluated
scene_048,baseline,Black Package,7.168343375041693e-05,True,True,evaluated
scene_049,baseline,,,,,no_target
scene_050,baseline,,,,,no_target
scene_051,baseline,Ikea Cardboard Package,4.988601267842359e-05,True,True,evaluated
scene_052,baseline,Ikea Cardboard Package,8.714495862421556e-05,True,True,evaluated
scene_053,baseline,,,,,target_unmatched
scene_054,baseline,Colis VistaPrint,3.589938882092906e-05,True,True,evaluated
scene_055,baseline,,,,,target_unmatched
scene_056,mixed,Colis VistaPrint,1.3859476860982509e-05,True,True,evaluated
scene_057,mixed,Colis VistaPrint,0.0001294807167444096,True,True,evaluated
scene_058,mixed,,,,,target_unmatched
scene_059,mixed,,,,,no_target
scene_060,mixed,Amazon_Book_Package,6.827598404804938e-05,True,True,evaluated
