scene_id,category_band,funnel_stage,released,released_valid,handover_status_raw,degenerate_plane
scene_000,baseline,released,True,True,success|ACCEPT,False
scene_001,baseline,no_candidates,,,inferred|empty_candidates,False
scene_002,baseline,released,True,True,success|ACCEPT,False
scene_003,baseline,released,True,True,success|ACCEPT,False
scene_004,baseline,released,True,True,success|ACCEPT,False
scene_005,baseline,rejected,False,,success|REJECT,False
scene_006,baseline,released,True,True,success|ACCEPT,False
scene_007,baseline,released,True,True,success|ACCEPT,False
scene_008,baseline,released,True,True,success|ACCEPT,False
scene_009,baseline,rejected,False,,success|REJECT,False
scene_010,baseline,released,True,True,success|ACCEPT,False
scene_011,baseline,released,True,True,success|ACCEPT,False
scene_012,baseline,rejected,False,,success|REJECT,False
scene_013,baseline,released,True,True,success|ACCEPT,False
scene_014,baseline,no_candidates,,,inferred|empty_candidates,False
scene_015,baseline,no_candidates,,,no_target|empty_candidates,False
scene_016,baseline,no_candidates,,,inferred|empty_candidates,False
scene_017,baseline,rejected,False,,success|REJECT,False
scene_018,baseline,released,True,True,success|ACCEPT,False
scene_019,baseline,released,True,True,success|ACCEPT,False
scene_020,baseline,released,True,True,success|ACCEPT,False
scene_021,baseline,released,True,True,success|ACCEPT,False
scene_022,baseline,released,True,True,success|ACCEPT,False
scene_023,baseline,released,True,True,success|ACCEPT,False
scene_024,baseline,rejected,False,,success|REJECT,False
scene_025,baseline,no_candidates,,,no_target|empty_candidates,False
scene_026,baseline,rejected,False,,success|REJECT,False
scene_027,baseline,released,True,True,success|ACCEPT,False
scene_028,baseline,released,True,True,success|ACCEPT,False
scene_029,baseline,released,True,True,success|ACCEPT,False
scene_030,baseline,released,True,True,success|ACCEPT,False
scene_031,baseline,released,True,True,success|ACCEPT,False
scene_032,baseline,released,True,True,success|ACCEPT,False
scene_033,baseline,released,True,True,success|ACCEPT,False
scene_034,baseline,released,True,True,success|ACCEPT,False
scene_035,baseline,no_candidates,,,inferred|empty_candidates,False
scene_036,baseline,released,True,True,success|ACCEPT,False
scene_037,baseline,released,True,True,success|ACCEPT,False
scene_038,baseline,released,True,True,success|ACCEPT,False
